,id,name,start_date,FIRE_SIZE_CLASS,cause,end_date,size,lat,lon,state,start_year,start_month,start_day_of_year,end_year,end_month,end_day_of_year,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,prcp_30
3319,1812921,PANHANDLE RD FIRE,2015-10-08,C,Human,,10.0,34.0550361,-98.648251,TX,2015,10,281,,,,23.1,15.6,31.7,0.0,0.0,,8.3,,1016.5,,41.0
3320,1617401,SISSYS COVE FIRE,2012-01-07,B,Human,2012-01-07,8.1,35.83656667,-82.62826667,NC,2012,1,7,2012.0,1.0,7.0,,-2.2,16.7,2.0,0.0,,1.8,,,,85.6
3321,1973895,2016-019,2016-02-06,C,Human,,15.0,32.220571,-94.509072,TX,2016,2,37,,,,5.1,0.6,11.1,6.1,,,5.8,,1026.9,,46.1
3322,2033800,N/A,2017-06-03,A,Human,2017-06-03,0.1,42.9449,-74.1634,NY,2017,6,154,2017.0,6.0,154.0,12.8,3.3,21.7,0.0,,,7.2,,,,116.3
3323,1567047,HEMET,2012-10-03,A,Human,2012-10-03,0.1,33.66472222,-116.70944444,CA,2012,10,277,2012.0,10.0,277.0,32.0,23.9,40.0,0.0,,,7.0,,1009.2,,0.0
3324,1543280,PIERCE,2010-08-11,B,Human,,5.0,33.32449316,-96.98148907,TX,2010,8,223,,,,32.2,23.3,38.9,0.0,,,5.8,,1011.0,,0.0
3325,1771831,TAMARAC,2014-06-04,B,Human,2014-06-11,0.8,47.8009,-117.5782,WA,2014,6,155,2014.0,6.0,162.0,16.4,9.4,25.0,0.0,0.0,,15.1,,1013.5,,15.8
3326,43570,,1992-05-20,A,Natural,1992-05-20,0.1,40.91666667,-105.65,CO,1992,5,141,1992.0,5.0,141.0,19.1,10.0,27.2,0.0,0.0,155.0,16.9,51.8,1006.3,732.0,15.600000000000001
3327,93842,CASTLE,1996-08-29,B,Natural,1996-08-31,1.5,38.99,-119.90666667,NV,1996,8,242,1996.0,8.0,244.0,22.2,8.9,35.0,0.0,,,4.3,,1017.1,,4.1
3328,16044,MATTERHORN,2006-07-24,A,Natural,2006-08-04,0.1,35.055,-112.27194444,AZ,2006,7,205,2006.0,8.0,216.0,26.1,19.4,36.1,0.0,,,11.0,,,,16.5
