,start_date,FIRE_SIZE_CLASS,category,cause,size,lat,lon,buinfdr,ercnfdr,icnfdr,scnfdr,u10,v10,t2m,blh,cape,lai_hv,lai_lv,slt
1813,2008-04-25,B,Human,Arson/incendiarism,1.5,33.051199,-86.523896,,,,,,,,,,,,
1814,2002-08-09,A,Human,Equipment and vehicle use,0.2,34.72388889,-118.79277778,,,,,,,,,,,,
1815,2001-04-24,A,Human,Equipment and vehicle use,0.01,44.651037,-88.897145,,,,,,,,,,,,
1816,1992-03-03,B,Missing data/not specified/undetermined,Missing data/not specified/undetermined,2.0,33.99166667,-80.15833333,,,,,,,,,,,,
1817,2013-11-02,B,Human,Equipment and vehicle use,1.0,32.340277,-99.759507,9.0,10.0,9.0,1.0,-1.3797607421875,6.11822509765625,297.72222900390625,590.5846557617188,64.875,0.0,0.0,0.0
1818,1999-04-14,A,Human,Fireworks,0.1,38.62225782,-79.35088885,,,,,,,,,,,,
1819,1993-04-30,A,Human,Arson/incendiarism,0.1,38.56291633,-82.27783986,,,,,,,,,,,,
1820,2013-06-13,A,Human,Missing data/not specified/undetermined,0.1,40.5843,-102.305,8.0,4.0,8.0,2.0,10.928155899047852,-5.138479232788086,287.38134765625,982.0811767578125,20.125,0.0,0.0,0.0
1821,1995-03-13,B,Human,Debris and open burning,0.38,32.0984,-83.2654,,,,,,,,,,,,
1822,2012-04-13,B,Human,Missing data/not specified/undetermined,5.0,47.87,-95.0147,0.0,0.0,0.0,0.0,2.1432933807373047,-1.1214056015014648,274.8049621582031,153.80804443359375,0.0,0.973388671875,0.6297607421875,0.0
1823,2013-02-23,A,Human,Recreation and ceremony,0.1,33.57972222,-116.48666667,22.0,15.0,19.0,5.0,0.034698486328125,-5.3391876220703125,287.28570556640625,1524.055419921875,0.71875,0.0,0.0,0.0
1824,2014-02-19,B,Human,Debris and open burning,0.9,33.551758,-80.209404,7.0,3.0,6.0,2.0,,,,,,,,
1825,2000-08-29,B,Natural,Natural,6.0,31.3717,-86.6753,,,,,,,,,,,,
